subject	hemi	CA1	CA2	CA4_DG	CA3	Tail	Sub	SRLM	Cyst
sub-9646699	L	530.0994028663263	36.5781462569721	268.51630452647805	104.39386729290707	338.2584459884092	451.2878266265616	460.3906399761327	23.55096654454246
sub-9646699	R	601.1814555651508	87.90008448716253	168.59993421379477	171.04133831802756	281.7056087302044	338.8783337492496	437.0494815967977	18.291457312181592
sub-6276475	L	585.2268983321264	39.91603071708232	262.5607931399718	111.53218952007592	353.23136106319726	639.0236560134217	546.3885193821043	14.119145496748388
sub-6276475	R	544.7529682489112	54.03040784318	280.0988603932783	147.8051850600168	266.6234449343756	651.9507088474929	561.7379045067355	10.490415431559086
sub-7651278	L	484.00420975498855	39.75869778171182	253.6440886426717	107.67464075423776	288.9968093615025	595.250362219289	486.5886681620032	0.0
sub-7651278	R	528.6934056784958	47.06861427240074	307.0594079699368	115.92869518697262	253.02420009486377	641.7038563173264	507.588584812358	0.2670289129018783
sub-7716381	L	467.0525509379804	46.286591987125576	246.9110971139744	130.22425333969295	289.2304031699896	662.4175411826	511.1075445888564	6.642342911101878
sub-7716381	R	589.8524482743815	46.09108871407807	283.0458240201697	144.82977834809572	246.8061929186806	656.6144318338484	583.7250895947218	7.34329367056489
sub-8858710	L	434.3116752738133	60.41987700527534	230.10193234682083	87.15606596972793	215.72056157514453	356.1535027544014	379.9619192872197	3.337851306423545
sub-8858710	R	458.5730859125033	122.26072499528529	187.6921473192051	176.233780620154	168.4613554351963	263.04175638221204	371.32165276259184	2.3555693505331874
sub-7101546	L	565.0102758365683	74.9541866122745	321.13617951376364	109.6918448265642	302.22954741772264	399.1659721038304	451.06980321742594	0.1668933476321399
sub-7101546	R	623.3466534060426	79.884692939464	290.5899285157211	138.62638292461634	219.33123745815828	332.6613572631031	489.0022769435309	4.115113114472479
sub-7137567	L	614.1623910446651	72.97526558861136	313.51612239843234	128.44581345794722	361.4430953748524	700.3746755351312	614.2339167231694	14.4958708435297
sub-7137567	R	666.3665995956399	70.83426361205056	324.34511012397707	137.01458974275738	293.64628890994936	698.9870773721486	597.8163893171586	5.178459123708308
sub-9717999	L	535.4448472908698	59.45201624371112	253.8345509064384	117.94559045461938	306.57270455220714	439.3145419112407	456.4139107153751	5.06877552671358
sub-9717999	R	571.7607404342853	63.72447426058352	308.7852274538018	132.62262815097347	294.1844836506061	501.1459739478305	518.946292895358	12.793532209005209
sub-9436688	L	525.0408828933723	67.32943961396813	304.4272955576889	124.59761027712376	397.4582705483772	568.6285888077691	521.3835401041433	13.246542722918091
sub-9436688	R	538.0347017990425	64.53994087642059	298.9436655608006	155.26779126841575	263.605246511288	577.1305994899012	508.5613826592453	21.119128048885614
sub-8854398	L	526.2991168485023	47.2736035482958	265.4264542981982	107.7603557179682	401.0626912289299	716.51409759745	540.9809229131788	4.863735688850284
sub-8854398	R	507.5975762880407	62.93292511906475	316.3955432963557	138.96455801976845	358.35241616517305	845.4650821401738	584.0917409160174	11.601440128404647
sub-9086990	L	379.452594215516	103.25428798701614	209.75583607004955	122.38498916942626	75.79801246151328	416.6983337309212	363.27828254783526	17.58098087226972
sub-9086990	R	452.5326356715522	86.58883419027552	267.20039168931544	117.19223403790966	197.9684249726124	476.56045303400606	434.994570130948	40.43577916920185
sub-8434376	L	482.4977335785516	37.53666141629219	243.54484017239884	85.49699430819601	289.3450984172523	547.3428883804008	469.7852412848733	12.583746122661978
sub-8434376	R	580.039647441823	52.68579420587048	248.3513638903387	114.9178785737604	276.3178932610899	558.0478940815665	507.2789873108268	5.989081140607595
sub-9329687	L	403.1229806514457	88.7775594536215	143.22760518360883	180.43998427782208	9.28878965601325	357.7566845593974	315.5089040910825	0.0095367450267076
sub-9329687	R	380.7545451913029	87.41380491480231	142.6315586194396	154.33791313972324	50.39692909363657	435.4096309393644	349.6266094241292	0.0
sub-9573597	L	349.75072373077273	86.27419758494943	123.1384998857975	103.96486651990564	297.579939682968	403.7382584158331	307.82717621698976	2.3221983211115003
